iter	Passed	Remaining
381	680	1100
382	682	1098
383	684	1097
384	685	1095
385	687	1093
386	689	1091
387	691	1090
388	694	1090
389	696	1088
390	697	1087
391	699	1085
392	701	1082
393	703	1081
394	704	1079
395	706	1076
396	707	1075
397	710	1074
398	711	1071
399	713	1070
400	715	1068
401	717	1067
402	719	1065
403	720	1063
404	723	1062
405	725	1060
406	726	1059
407	728	1057
408	730	1055
409	732	1053
410	733	1051
411	734	1048
412	737	1047
413	739	1046
414	741	1044
415	742	1043
416	744	1041
417	746	1038
418	747	1036
419	749	1034
420	751	1033
421	753	1031
422	755	1030
423	756	1028
424	758	1026
425	760	1024
426	761	1022
427	763	1019
428	765	1018
429	767	1016
430	769	1015
431	770	1013
432	772	1011
433	774	1009
434	776	1007
435	777	1005
436	779	1004
437	781	1002
438	783	1001
439	785	999
440	786	997
441	788	995
442	789	993
443	791	990
444	792	988
445	796	988
446	797	986
447	799	985
448	801	983
449	802	981
450	804	978
451	805	976
452	807	974
453	808	972
454	810	970
455	812	968
456	814	967
457	815	965
458	817	963
459	819	961
460	822	961
461	824	959
462	826	958
463	828	956
464	830	954
465	831	952
466	833	951
467	835	949
468	837	947
469	839	946
470	841	944
471	842	942
472	844	940
473	845	938
474	847	936
475	849	935
476	851	933
477	853	931
478	855	930
479	856	928
480	858	926
481	860	924
482	861	922
483	863	920
484	865	918
485	867	917
486	869	916
487	871	913
488	873	912
489	875	911
490	877	909
491	879	907
492	880	905
493	882	903
494	883	901
495	885	899
496	886	897
497	888	895
498	889	893
499	892	892
500	894	890
501	895	888
502	897	886
503	899	885
504	901	883
505	902	881
506	905	880
507	907	878
508	909	877
509	910	875
510	913	873
511	914	871
512	916	869
513	917	867
514	920	866
515	922	864
516	923	863
517	925	860
518	927	859
519	929	857
520	930	855
521	932	853
522	934	852
523	936	850
524	937	848
525	940	847
526	941	844
527	943	843
528	944	841
529	946	839
530	948	837
531	950	836
532	953	834
533	954	833
534	956	830
535	957	829
536	959	827
537	960	825
538	962	823
539	964	821
540	966	819
541	967	817
542	969	815
543	971	814
544	973	812
545	974	810
546	976	808
547	978	807
548	980	805
549	982	803
550	984	801
551	985	800
552	987	798
553	990	797
554	992	796
555	994	794
556	996	792
557	997	790
558	999	788
559	1000	786
560	1002	784
561	1005	783
562	1006	781
563	1008	779
564	1009	777
565	1011	775
566	1012	773
567	1014	771
568	1015	769
569	1018	768
570	1020	766
571	1021	764
572	1023	762
573	1025	761
574	1026	759
575	1028	757
576	1029	755
577	1032	753
578	1034	752
579	1036	750
580	1037	748
581	1039	746
582	1040	744
583	1042	742
584	1048	744
585	1050	742
586	1051	740
587	1053	738
588	1054	736
589	1056	734
590	1057	732
591	1060	730
592	1062	729
593	1064	727
594	1065	725
595	1067	723
596	1068	721
597	1070	719
598	1071	717
599	1073	715
600	1075	714
601	1077	712
602	1079	710
603	1081	709
604	1083	707
605	1085	705
606	1087	704
607	1089	702
608	1091	700
609	1093	699
610	1095	697
611	1097	695
612	1099	694
613	1101	692
614	1103	690
615	1105	688
616	1106	687
617	1108	685
618	1110	683
619	1112	681
620	1114	679
621	1116	678
622	1118	676
623	1119	674
624	1121	672
625	1123	671
626	1125	669
627	1126	667
628	1128	665
629	1130	664
630	1132	662
631	1134	660
632	1136	659
633	1138	657
634	1140	655
635	1142	653
636	1144	652
637	1146	650
638	1148	648
639	1150	647
640	1151	645
641	1153	643
642	1155	641
643	1158	640
644	1160	638
645	1161	636
646	1163	634
647	1164	632
648	1166	630
649	1168	629
650	1170	627
651	1172	625
652	1173	623
653	1176	622
654	1178	620
655	1179	618
656	1181	616
657	1183	615
658	1185	613
659	1186	611
660	1188	609
661	1190	607
662	1192	605
663	1193	604
664	1195	602
665	1197	600
666	1199	598
667	1201	597
668	1203	595
669	1205	593
670	1207	591
671	1209	590
672	1210	588
673	1212	586
674	1214	584
675	1216	582
676	1217	581
677	1220	579
678	1222	577
679	1224	576
680	1226	574
681	1227	572
682	1229	570
683	1231	569
684	1234	567
685	1235	565
686	1237	563
687	1239	562
688	1241	560
689	1243	558
690	1244	556
691	1246	554
692	1249	553
693	1251	551
694	1253	550
695	1255	548
696	1257	546
697	1259	545
698	1262	543
699	1264	542
700	1267	540
701	1268	538
702	1270	536
703	1272	534
704	1274	533
705	1276	531
706	1277	529
707	1279	527
708	1280	525
709	1282	523
710	1283	521
711	1285	519
712	1287	518
713	1288	516
714	1290	514
715	1291	512
716	1293	510
717	1294	508
718	1296	506
719	1297	504
720	1299	502
721	1300	500
722	1302	498
723	1303	497
724	1305	495
725	1307	493
726	1308	491
727	1309	489
728	1311	487
729	1312	485
730	1314	483
731	1315	481
732	1317	479
733	1318	477
734	1320	476
735	1321	474
736	1323	472
737	1325	470
738	1327	468
739	1328	466
740	1329	464
741	1331	462
742	1332	461
743	1334	459
744	1335	457
745	1337	455
746	1338	453
747	1340	451
748	1341	449
749	1342	447
750	1344	445
751	1346	443
752	1347	442
753	1349	440
754	1350	438
755	1352	436
756	1354	434
757	1355	432
758	1357	430
759	1358	429
760	1360	427
761	1361	425
762	1362	423
763	1364	421
764	1365	419
765	1367	417
766	1369	415
767	1370	413
768	1371	412
769	1373	410
770	1374	408
771	1376	406
772	1377	404
773	1379	402
774	1381	400
775	1382	399
776	1383	397
777	1385	395
778	1386	393
779	1388	391
780	1389	389
781	1391	387
782	1392	386
783	1394	384
784	1395	382
785	1397	380
786	1398	378
787	1400	376
788	1402	374
789	1403	373
790	1405	371
791	1407	369
792	1409	367
793	1411	366
794	1412	364
795	1414	362
796	1416	360
797	1417	358
798	1419	357
799	1421	355
800	1422	353
801	1424	351
802	1426	349
803	1428	348
804	1430	346
805	1432	344
806	1434	342
807	1436	341
808	1439	339
809	1441	338
810	1443	336
811	1445	334
812	1447	332
813	1448	331
814	1450	329
815	1452	327
816	1453	325
817	1455	323
818	1456	321
819	1458	320
820	1459	318
821	1461	316
822	1462	314
823	1464	312
824	1465	310
825	1466	309
826	1468	307
827	1469	305
828	1471	303
829	1472	301
830	1473	299
831	1475	297
832	1476	296
833	1478	294
834	1480	292
835	1482	290
836	1484	289
837	1486	287
838	1487	285
839	1489	283
840	1490	281
841	1493	280
842	1494	278
843	1495	276
844	1497	274
845	1498	272
846	1500	270
847	1501	269
848	1503	267
849	1504	265
850	1506	263
851	1507	261
852	1509	260
853	1510	258
854	1511	256
855	1513	254
856	1514	252
857	1516	250
858	1517	249
859	1519	247
860	1520	245
861	1522	243
862	1524	241
863	1525	240
864	1527	238
865	1528	236
866	1530	234
867	1531	232
868	1533	231
869	1534	229
870	1536	227
871	1537	225
872	1539	223
873	1540	222
874	1542	220
875	1543	218
876	1545	216
877	1546	214
878	1547	213
879	1549	211
880	1550	209
881	1552	207
882	1554	205
883	1555	204
884	1556	202
885	1558	200
886	1559	198
887	1561	196
888	1562	195
889	1564	193
890	1565	191
891	1567	189
892	1569	188
893	1571	186
894	1572	184
895	1574	182
896	1576	180
897	1577	179
898	1580	177
899	1581	175
900	1583	174
901	1585	172
902	1586	170
903	1588	168
904	1589	166
905	1591	165
906	1593	163
907	1594	161
908	1596	159
909	1597	158
910	1599	156
911	1600	154
912	1602	152
913	1603	150
914	1605	149
915	1606	147
916	1608	145
917	1609	143
918	1610	141
919	1612	140
920	1613	138
921	1615	136
922	1617	134
923	1618	133
924	1620	131
925	1621	129
926	1623	127
927	1624	126
928	1625	124
929	1627	122
930	1628	120
931	1630	118
932	1631	117
933	1633	115
934	1634	113
935	1636	111
936	1637	110
937	1639	108
938	1640	106
939	1642	104
940	1643	103
941	1644	101
942	1646	99
943	1647	97
944	1649	95
945	1650	94
946	1652	92
947	1653	90
948	1654	88
949	1656	87
950	1657	85
951	1659	83
952	1660	81
953	1661	80
954	1663	78
955	1664	76
956	1666	74
957	1667	73
958	1669	71
959	1670	69
960	1672	67
961	1673	66
962	1674	64
963	1676	62
964	1677	60
965	1679	59
966	1680	57
967	1681	55
968	1683	53
969	1684	52
970	1686	50
971	1687	48
972	1688	46
973	1690	45
974	1691	43
975	1693	41
976	1694	39
977	1695	38
978	1697	36
979	1698	34
980	1700	32
981	1702	31
982	1703	29
983	1705	27
984	1706	25
985	1708	24
986	1709	22
987	1711	20
988	1712	19
989	1714	17
990	1715	15
991	1716	13
992	1718	12
993	1720	10
994	1721	8
995	1723	6
996	1725	5
997	1727	3
998	1728	1
999	1730	0
